feature,tfidf,day
#holland,0.044032089,5
#whatiatetoday,0.044032089,5
#gryphon,0.044032089,5
#coupletime,0.044032089,5
#earlgreylavendaricecream,0.044032089,5
#cafehunting,0.044032089,5
#wokkingmumeatout,0.044032089,5
#crispy,0.042936057,5
#icecreamwaffle,0.042936057,5
#creamier,0.042936057,5
#travel,0.042936057,5
#awesome,0.037796106,5
#waffleicecream,0.037796106,5
#teatime,0.037796106,5
#instamood,0.037796106,5
#cakes,0.037796106,5
#icecreamlover,0.03763717,5
#belgiumwaffles,0.03763717,5
#yoursingapore,0.03763717,5
#foodforfoodies,0.03763717,5
#culinary,0.03763717,5
#asian,0.03763717,5
#lemon,0.03763717,5
#hightea,0.03763717,5
#ilovesg,0.03763717,5
#favourite,0.03763717,5
#sugarrush,0.03763717,5
#saturday,0.564982346,6
#saturdate,0.185073926,6
#weekend,0.181557818,6
#awesome,0.181557818,6
#tgif,0.158195057,6
#brunch,0.151298182,6
#sogood,0.112996469,6
#coffeeaddict,0.105756529,6
#caffeine,0.105756529,6
#sundayfolk,0.090778909,6
#instagram,0.090778909,6
#loveit,0.090397175,6
#cafelife,0.090397175,6
#icecreamwaffle,0.085936727,6
#_______,0.079317397,6
#supper,0.079317397,6
#weekends,0.078483535,6
#coffeetime,0.078483535,6
#sundayfolksthe,0.078483535,6
#sgdessert,0.075649091,6
#myambiance,0.068749382,6
#sgdesserts,0.068749382,6
#likeforlike,0.067797881,6
#iphonegraphy,0.067797881,6
#foodforfoodies,0.067797881,6
#friday,0.067797881,6
#myambience,0.067797881,6
#yuzu,0.060519273,6
#friends,0.060519273,6
#instagramsg,0.060519273,6
#hungrygowhere,0.060519273,6
#dinner,0.060519273,6
#latte,0.060519273,6
#teatime,0.060519273,6
#lunch,0.060519273,6
#foodstamping,0.058862651,6
#cafehopsg,0.058862651,6
#iphoneonly,0.058862651,6
#breakfast,0.058862651,6
#sundayfolkswaffles,0.058862651,6
#hot,0.058862651,6
#instasize,0.052878265,6
#wafflehouse,0.052878265,6
#icecreamthe,0.052878265,6
#daily,0.052878265,6
#howtoresist,0.052878265,6
#photography,0.052878265,6
#howtonotfat,0.052878265,6
#baby,0.052878265,6
#bffs,0.052878265,6
#sunday,0.632636197,7
#weekend,0.151832687,7
#weekends,0.114859502,7
#brunch,0.113874515,7
#sundate,0.110552235,7
#dessertstagram,0.098451001,7
#sundayfunday,0.094496385,7
#saturday,0.094496385,7
#singaporecafe,0.094496385,7
#vscocommunity,0.094496385,7
#sundayfolkssunday,0.088569068,7
#sgvsco,0.088569068,7
#vscogrid,0.088441788,7
#sg50,0.086240324,7
#omnomnom,0.086240324,7
#foodoftheday,0.086240324,7
#exploresingapore,0.075916344,7
#vanilla,0.075916344,7
#hollandv,0.075916344,7
#softserveicecream,0.075916344,7
#waffleicecream,0.075916344,7
#igers,0.075916344,7
#awesome,0.075916344,7
#foodvsco,0.075597108,7
#picoftheday,0.071866937,7
#popcorn,0.071866937,7
#icecreamwaffle,0.071866937,7
#foodspotting,0.071866937,7
#igaddict,0.066331341,7
#sundae,0.066331341,7
#icecreamandwaffles,0.066331341,7
#sundays,0.066331341,7
#icecreamsunday,0.066331341,7
#bestofvsco,0.066331341,7
#life,0.065634001,7
#cafehunt,0.065634001,7
#toppings,0.065634001,7
#chillax,0.065634001,7
#sundayfolksit,0.065634001,7
#hungrygowhere,0.06326362,7
#instagram,0.06326362,7
#instamood,0.06326362,7
#sgfoodunion,0.06326362,7
#vscogood,0.057493549,7
#folks,0.057493549,7
#belgianwaffles,0.057493549,7
#feedfeed,0.056697831,7
#saltedgulamelaka,0.056697831,7
#gf_singapore,0.056697831,7
#8dayseatout,0.056697831,7
