feature,tfidf,day
#cake,0.054142163,5
#favourite,0.05391449,5
#singaporecafe,0.05391449,5
#foodism,0.05391449,5
#belgiumwaffles,0.05391449,5
#travel,0.046808982,5
#nice,0.046808982,5
#tea,0.046808982,5
#crispy,0.046808982,5
#instaphoto,0.046808982,5
#blessed,0.046808982,5
#blueberry,0.046808982,5
#bff,0.04100336,5
#sundayfolksroasted,0.04100336,5
#vscocamsg,0.04100336,5
#nofilter,0.04100336,5
#sg50,0.04100336,5
#awesome,0.04100336,5
#whatiate,0.04100336,5
#hollandv,0.036094775,5
#cone,0.036094775,5
#seasalt,0.036094775,5
#matcha,0.036094775,5
#goodfood,0.036094775,5
#weekend,0.036094775,5
#saturday,0.526953941,6
#awesome,0.200381027,6
#tgif,0.18443388,6
#brunch,0.180342925,6
#seasalt,0.158753757,6
#weekend,0.141114451,6
#weekends,0.131738485,6
#sogood,0.123297702,6
#caffeine,0.123297702,6
#cafelife,0.123297702,6
#coffeeaddict,0.123297702,6
#sundayfolk,0.105835838,6
#sgeats,0.105835838,6
#coffeetime,0.105390788,6
#loveit,0.105390788,6
#icecreamwaffle,0.105390788,6
#iphonegraphy,0.092473276,6
#cafehopsg,0.092473276,6
#instasize,0.092473276,6
#sgdessert,0.088196532,6
#matcha,0.088196532,6
#_,0.088196532,6
#yuzu,0.080152411,6
#sundayfolkswaffles,0.079043091,6
#latte,0.079043091,6
#foodstamping,0.079043091,6
#cake,0.070557225,6
#dinner,0.06862583,6
#desserttime,0.06862583,6
#lunch,0.06862583,6
#sundayfolksthe,0.06862583,6
#sundayfolksbest,0.061648851,6
#cold,0.061648851,6
#baby,0.061648851,6
#softcream,0.061648851,6
#photography,0.061648851,6
#bffs,0.061648851,6
#breakfast,0.061648851,6
#sundayfolksdessert,0.061648851,6
#supper,0.061648851,6
#wafflehouse,0.061648851,6
#coffeelovers,0.061648851,6
#liveauthentic,0.061648851,6
#foodforfoodies,0.061648851,6
#earlgreyicecream,0.061648851,6
#sgdesserts,0.060114308,6
#dessertsg,0.060114308,6
#foodcoma,0.052917919,6
#friends,0.052917919,6
#instalike,0.052917919,6
#sunday,0.468622685,7
#weekends,0.188455649,7
#seasalt,0.180239494,7
#sundate,0.157482918,7
#brunch,0.143325378,7
#nomnomnom,0.143325378,7
#vanilla,0.140244573,7
#vscocommunity,0.134611178,7
#sg50,0.122850324,7
#sgvsco,0.108143696,7
#foodgram,0.108143696,7
#awesome,0.10237527,7
#sundayfolkssunday,0.10237527,7
#picoftheday,0.10237527,7
#sundays,0.094489751,7
#dessertstagram,0.094489751,7
#vscogrid,0.094489751,7
#life,0.093496382,7
#omnomnom,0.093496382,7
#cafehunt,0.093496382,7
#blueberry,0.093496382,7
