dates,
31/7/14,170
31/8/14,280
30/9/14,231
31/10/14,244
30/11/14,229
31/12/14,232
31/1/15,264
28/2/15,148
31/3/15,248
30/4/15,256
31/5/15,266
30/6/15,214
31/7/15,237
31/8/15,254
30/9/15,267
31/10/15,237
30/11/15,191
31/12/15,194
31/1/16,199
29/2/16,156
31/3/16,180
30/4/16,249
31/5/16,420
30/6/16,446
31/7/16,525
31/8/16,439
